sku,location,period,qty,flag,observed
SKU_0001,MSK,2023-01,243.0,,True
SKU_0001,MSK,2023-02,179.0,,True
SKU_0001,MSK,2023-03,168.0,,True
SKU_0001,MSK,2023-04,204.0,,True
SKU_0001,MSK,2023-05,153.0,,True
SKU_0001,MSK,2023-06,226.0,,True
SKU_0001,MSK,2023-07,283.0,,True
SKU_0001,MSK,2023-08,290.0,,True
SKU_0001,MSK,2023-09,268.0,,True
SKU_0001,MSK,2023-10,330.0,,True
SKU_0001,MSK,2023-11,283.428478185879,promo,False
SKU_0001,MSK,2023-12,334.0,,True
SKU_0001,MSK,2024-01,281.0,,True
SKU_0001,MSK,2024-02,282.0,,True
SKU_0001,MSK,2024-03,241.0,,True
SKU_0001,MSK,2024-04,185.0,,True
SKU_0001,MSK,2024-05,230.0,,True
SKU_0001,MSK,2024-06,256.0,,True
SKU_0001,MSK,2024-07,281.0,,True
SKU_0001,MSK,2024-08,320.0,,True
SKU_0001,MSK,2024-09,350.0,,True
SKU_0001,MSK,2024-10,385.0,,True
SKU_0001,MSK,2024-11,320.12718820507394,promo,False
SKU_0001,MSK,2024-12,316.0,,True
SKU_0001,MSK,2025-01,318.0,,True
SKU_0001,MSK,2025-02,278.0,,True
SKU_0001,MSK,2025-03,279.0,,True
SKU_0001,MSK,2025-04,232.0,,True
SKU_0001,MSK,2025-05,260.0,,True
SKU_0001,MSK,2025-06,299.0,,True
SKU_0001,MSK,2025-07,303.0,,True
SKU_0001,MSK,2025-08,363.0,,True
SKU_0001,MSK,2025-09,388.0,,True
SKU_0001,MSK,2025-10,475.0,,True
SKU_0001,MSK,2025-11,391.0,,True
SKU_0001,MSK,2025-12,393.0,,True
SKU_0002,MSK,2023-01,26.0,,True
SKU_0002,MSK,2023-02,34.0,,True
SKU_0002,MSK,2023-03,0.0,,True
SKU_0002,MSK,2023-04,0.0,,True
SKU_0002,MSK,2023-05,0.0,,True
SKU_0002,MSK,2023-06,0.0,,True
SKU_0002,MSK,2023-07,0.0,,True
SKU_0002,MSK,2023-08,0.0,,True
SKU_0002,MSK,2023-09,0.0,,True
SKU_0002,MSK,2023-10,0.0,,True
SKU_0002,MSK,2023-11,29.0,,True
SKU_0002,MSK,2023-12,26.0,,True
SKU_0002,MSK,2024-01,0.0,,True
SKU_0002,MSK,2024-02,0.0,,True
SKU_0002,MSK,2024-03,0.0,,True
SKU_0002,MSK,2024-04,0.0,,True
SKU_0002,MSK,2024-05,45.0,,True
SKU_0002,MSK,2024-06,47.0,,True
SKU_0002,MSK,2024-07,0.0,,True
SKU_0002,MSK,2024-08,41.0,,True
SKU_0002,MSK,2024-09,0.0,,True
SKU_0002,MSK,2024-10,0.0,,True
SKU_0002,MSK,2024-11,0.0,,True
SKU_0002,MSK,2024-12,28.0,,True
SKU_0002,MSK,2025-01,0.0,,True
SKU_0002,MSK,2025-02,0.0,,True
SKU_0002,MSK,2025-03,0.0,,True
SKU_0002,MSK,2025-04,0.0,,True
SKU_0002,MSK,2025-05,0.0,,True
SKU_0002,MSK,2025-06,0.0,,True
SKU_0002,MSK,2025-07,0.0,,True
SKU_0002,MSK,2025-08,0.0,,True
SKU_0002,MSK,2025-09,0.0,,True
SKU_0002,MSK,2025-10,35.0,,True
SKU_0002,MSK,2025-11,0.0,,True
SKU_0002,MSK,2025-12,0.0,,True
