sku,location,period,issue,action,old,new
SKU_0004,MSK,2024-01,exact_duplicate,dropped,609.0,
SKU_0019,MSK,2025-02,exact_duplicate,dropped,104.0,
SKU_0030,MSK,2023-04,exact_duplicate,dropped,571.0,
SKU_0014,MSK,2024-06,negative_qty,masked,-8.0,
SKU_0005,MSK,2023-07,missing_row,masked,,
SKU_0005,MSK,2023-08,missing_row,masked,,
SKU_0005,MSK,2024-08,missing_row,masked,,
SKU_0005,MSK,2025-05,missing_row,masked,,
SKU_0011,MSK,2024-09,inactive_series,excluded,,
SKU_0018,MSK,2024-07,unit_shift,history_before_x1000,,
SKU_0007,MSK,2023-09,stockout,masked,0.0,
SKU_0007,MSK,2023-10,stockout,masked,0.0,
SKU_0012,MSK,2024-09,stockout,masked,0.0,
SKU_0012,MSK,2024-10,stockout,masked,0.0,
SKU_0012,MSK,2024-11,stockout,masked,0.0,
SKU_0021,MSK,2025-07,stockout,masked,0.0,
SKU_0033,MSK,2024-03,stockout,masked,0.0,
SKU_0033,MSK,2024-04,stockout,masked,0.0,
SKU_0038,MSK,2025-02,stockout,masked,0.0,
SKU_0038,MSK,2025-03,stockout,masked,0.0,
SKU_0001,MSK,2023-11,promo,masked,1172.0,
SKU_0001,MSK,2024-11,promo,masked,1159.0,
SKU_0006,MSK,2024-03,promo,masked,476.0,
SKU_0013,MSK,2025-04,promo,masked,7202.0,
SKU_0020,MSK,2023-06,promo,masked,15629.0,
SKU_0023,MSK,2025-10,promo,masked,5279.0,
SKU_0028,MSK,2023-12,promo,masked,327.0,
SKU_0037,MSK,2024-08,promo,masked,1345.0,
SKU_0001,MSK,2023-11,imputed,filled(promo),,283.4
SKU_0001,MSK,2024-11,imputed,filled(promo),,320.1
SKU_0005,MSK,2023-07,imputed,filled(missing_row),,478.9
SKU_0005,MSK,2023-08,imputed,filled(missing_row),,594.5
SKU_0005,MSK,2024-08,imputed,filled(missing_row),,580.7
SKU_0005,MSK,2025-05,imputed,filled(missing_row),,718.0
SKU_0006,MSK,2024-03,imputed,filled(promo),,156.6
SKU_0007,MSK,2023-09,imputed,filled(stockout),,1796.0
SKU_0007,MSK,2023-10,imputed,filled(stockout),,1764.7
SKU_0012,MSK,2024-09,imputed,filled(stockout),,672.1
SKU_0012,MSK,2024-10,imputed,filled(stockout),,684.5
SKU_0012,MSK,2024-11,imputed,filled(stockout),,591.7
SKU_0013,MSK,2025-04,imputed,filled(promo),,1804.5
SKU_0014,MSK,2024-06,imputed,filled(negative),,1593.7
SKU_0020,MSK,2023-06,imputed,filled(promo),,3607.3
SKU_0021,MSK,2025-07,imputed,filled(stockout),,667.4
SKU_0023,MSK,2025-10,imputed,filled(promo),,1511.4
SKU_0028,MSK,2023-12,imputed,filled(promo),,104.3
SKU_0033,MSK,2024-03,imputed,filled(stockout),,3781.9
SKU_0033,MSK,2024-04,imputed,filled(stockout),,3282.5
SKU_0037,MSK,2024-08,imputed,filled(promo),,329.6
SKU_0038,MSK,2025-02,imputed,filled(stockout),,149.2
SKU_0038,MSK,2025-03,imputed,filled(stockout),,171.1
