sku,location,period,forecast,method
SKU_0001,MSK,2026-01,367.07,seasonal_naive_growth
SKU_0001,MSK,2026-02,320.89,seasonal_naive_growth
SKU_0001,MSK,2026-03,322.05,seasonal_naive_growth
SKU_0002,MSK,2026-01,10.22,croston_sba
SKU_0002,MSK,2026-02,10.22,croston_sba
SKU_0002,MSK,2026-03,10.22,croston_sba
SKU_0003,EKB,2026-01,375.29,seasonal_naive_growth
SKU_0003,EKB,2026-02,279.49,seasonal_naive_growth
SKU_0003,EKB,2026-03,209.37,seasonal_naive_growth
SKU_0003,MSK,2026-01,872.67,seasonal_naive_growth
SKU_0003,MSK,2026-02,651.29,seasonal_naive_growth
SKU_0003,MSK,2026-03,487.23,seasonal_naive_growth
SKU_0004,MSK,2026-01,644.0,seasonal_naive_growth
SKU_0004,MSK,2026-02,910.04,seasonal_naive_growth
SKU_0004,MSK,2026-03,908.99,seasonal_naive_growth
SKU_0005,MSK,2026-01,899.56,seasonal_naive_growth
SKU_0005,MSK,2026-02,720.95,seasonal_naive_growth
SKU_0005,MSK,2026-03,788.06,seasonal_naive_growth
SKU_0006,MSK,2026-01,162.83,seasonal_naive_growth
SKU_0006,MSK,2026-02,169.17,seasonal_naive_growth
SKU_0006,MSK,2026-03,189.26,seasonal_naive_growth
SKU_0007,MSK,2026-01,1314.54,seasonal_naive_growth
SKU_0007,MSK,2026-02,1459.47,seasonal_naive_growth
SKU_0007,MSK,2026-03,1185.94,seasonal_naive_growth
SKU_0008,EKB,2026-01,206.76,seasonal_naive_growth
SKU_0008,EKB,2026-02,302.54,seasonal_naive_growth
SKU_0008,EKB,2026-03,211.43,seasonal_naive_growth
SKU_0008,MSK,2026-01,617.41,seasonal_naive_growth
SKU_0008,MSK,2026-02,904.53,seasonal_naive_growth
SKU_0008,MSK,2026-03,632.59,seasonal_naive_growth
SKU_0009,MSK,2026-01,2.97,croston_sba
SKU_0009,MSK,2026-02,2.97,croston_sba
SKU_0009,MSK,2026-03,2.97,croston_sba
SKU_0010,MSK,2026-01,3598.0,seasonal_naive
SKU_0010,MSK,2026-02,2671.0,seasonal_naive
SKU_0010,MSK,2026-03,2849.0,seasonal_naive
SKU_0012,MSK,2026-01,814.42,seasonal_naive_growth
SKU_0012,MSK,2026-02,834.14,seasonal_naive_growth
SKU_0012,MSK,2026-03,1015.7,seasonal_naive_growth
SKU_0013,MSK,2026-01,1511.0,seasonal_naive
SKU_0013,MSK,2026-02,1302.0,seasonal_naive
SKU_0013,MSK,2026-03,1817.0,seasonal_naive
SKU_0014,MSK,2026-01,1426.0,seasonal_naive
SKU_0014,MSK,2026-02,1345.0,seasonal_naive
SKU_0014,MSK,2026-03,1212.0,seasonal_naive
SKU_0015,MSK,2026-01,1.78,croston_sba
SKU_0015,MSK,2026-02,1.78,croston_sba
SKU_0015,MSK,2026-03,1.78,croston_sba
SKU_0016,MSK,2026-01,144.53,seasonal_naive_growth
SKU_0016,MSK,2026-02,150.68,seasonal_naive_growth
SKU_0016,MSK,2026-03,162.99,seasonal_naive_growth
SKU_0017,EKB,2026-01,22.29,seasonal_naive_growth
SKU_0017,EKB,2026-02,27.36,seasonal_naive_growth
SKU_0017,EKB,2026-03,29.38,seasonal_naive_growth
SKU_0017,MSK,2026-01,85.04,seasonal_naive_growth
SKU_0017,MSK,2026-02,105.29,seasonal_naive_growth
SKU_0017,MSK,2026-03,111.36,seasonal_naive_growth
SKU_0018,MSK,2026-01,252817.59,seasonal_naive_growth
SKU_0018,MSK,2026-02,217710.68,seasonal_naive_growth
SKU_0018,MSK,2026-03,279180.42,seasonal_naive_growth
SKU_0019,MSK,2026-01,98.11,seasonal_naive_growth
SKU_0019,MSK,2026-02,107.4,seasonal_naive_growth
SKU_0019,MSK,2026-03,103.27,seasonal_naive_growth
SKU_0020,MSK,2026-01,3170.0,seasonal_naive
SKU_0020,MSK,2026-02,2746.0,seasonal_naive
SKU_0020,MSK,2026-03,2786.0,seasonal_naive
SKU_0021,MSK,2026-01,428.87,seasonal_naive_growth
SKU_0021,MSK,2026-02,420.02,seasonal_naive_growth
SKU_0021,MSK,2026-03,409.2,seasonal_naive_growth
SKU_0022,EKB,2026-01,992.06,seasonal_naive_growth
SKU_0022,EKB,2026-02,1108.43,seasonal_naive_growth
SKU_0022,EKB,2026-03,960.32,seasonal_naive_growth
SKU_0022,MSK,2026-01,2352.53,seasonal_naive_growth
SKU_0022,MSK,2026-02,2627.64,seasonal_naive_growth
SKU_0022,MSK,2026-03,2276.11,seasonal_naive_growth
SKU_0023,MSK,2026-01,1960.14,seasonal_naive_growth
SKU_0023,MSK,2026-02,1832.35,seasonal_naive_growth
SKU_0023,MSK,2026-03,1423.21,seasonal_naive_growth
SKU_0024,MSK,2026-01,1.45,croston_sba
SKU_0024,MSK,2026-02,1.45,croston_sba
SKU_0024,MSK,2026-03,1.45,croston_sba
SKU_0025,MSK,2026-01,4501.0,seasonal_naive
SKU_0025,MSK,2026-02,4406.0,seasonal_naive
SKU_0025,MSK,2026-03,3325.0,seasonal_naive
SKU_0026,MSK,2026-01,739.83,ses
SKU_0026,MSK,2026-02,739.83,ses
SKU_0026,MSK,2026-03,739.83,ses
SKU_0027,EKB,2026-01,372.0,seasonal_naive
SKU_0027,EKB,2026-02,384.0,seasonal_naive
SKU_0027,EKB,2026-03,487.0,seasonal_naive
SKU_0027,MSK,2026-01,1070.0,seasonal_naive
SKU_0027,MSK,2026-02,1102.0,seasonal_naive
SKU_0027,MSK,2026-03,1401.0,seasonal_naive
SKU_0028,MSK,2026-01,120.24,seasonal_naive_growth
SKU_0028,MSK,2026-02,149.46,seasonal_naive_growth
SKU_0028,MSK,2026-03,107.88,seasonal_naive_growth
SKU_0029,MSK,2026-01,704.76,ses
SKU_0029,MSK,2026-02,704.76,ses
SKU_0029,MSK,2026-03,704.76,ses
SKU_0030,MSK,2026-01,574.98,seasonal_naive_growth
SKU_0030,MSK,2026-02,652.09,seasonal_naive_growth
SKU_0030,MSK,2026-03,602.19,seasonal_naive_growth
SKU_0031,MSK,2026-01,25.02,croston_sba
SKU_0031,MSK,2026-02,25.02,croston_sba
SKU_0031,MSK,2026-03,25.02,croston_sba
SKU_0032,MSK,2026-01,1800.62,seasonal_naive_growth
SKU_0032,MSK,2026-02,2017.24,seasonal_naive_growth
SKU_0032,MSK,2026-03,1463.53,seasonal_naive_growth
SKU_0033,MSK,2026-01,4275.68,seasonal_naive_growth
SKU_0033,MSK,2026-02,5130.81,seasonal_naive_growth
SKU_0033,MSK,2026-03,4361.19,seasonal_naive_growth
SKU_0034,EKB,2026-01,507.89,seasonal_naive_growth
SKU_0034,EKB,2026-02,455.12,seasonal_naive_growth
SKU_0034,EKB,2026-03,395.76,seasonal_naive_growth
SKU_0034,MSK,2026-01,1039.09,seasonal_naive_growth
SKU_0034,MSK,2026-02,931.45,seasonal_naive_growth
SKU_0034,MSK,2026-03,809.52,seasonal_naive_growth
SKU_0035,MSK,2026-01,314.81,ses
SKU_0035,MSK,2026-02,314.81,ses
SKU_0035,MSK,2026-03,314.81,ses
SKU_0036,MSK,2026-01,265.6,ses
SKU_0036,MSK,2026-02,265.6,ses
SKU_0036,MSK,2026-03,265.6,ses
SKU_0037,MSK,2026-01,360.15,seasonal_naive_growth
SKU_0037,MSK,2026-02,310.93,seasonal_naive_growth
SKU_0037,MSK,2026-03,290.52,seasonal_naive_growth
SKU_0038,MSK,2026-01,130.77,seasonal_naive_growth
SKU_0038,MSK,2026-02,161.23,seasonal_naive_growth
SKU_0038,MSK,2026-03,184.96,seasonal_naive_growth
SKU_0039,MSK,2026-01,1394.0,seasonal_naive
SKU_0039,MSK,2026-02,1655.0,seasonal_naive
SKU_0039,MSK,2026-03,1108.0,seasonal_naive
SKU_0040,MSK,2026-01,7.78,croston_sba
SKU_0040,MSK,2026-02,7.78,croston_sba
SKU_0040,MSK,2026-03,7.78,croston_sba
