sku,location,n,adi,acf12,mean_qty,segment,method
SKU_0001,MSK,36,1.0,0.47,288.5,seasonal,seasonal_naive_growth
SKU_0002,MSK,36,4.0,-0.18,8.6,intermittent,croston_sba
SKU_0003,EKB,36,1.0,0.42,272.0,seasonal,seasonal_naive_growth
SKU_0003,MSK,36,1.0,0.42,632.6,seasonal,seasonal_naive_growth
SKU_0004,MSK,36,1.0,0.39,700.4,seasonal,seasonal_naive_growth
SKU_0005,MSK,36,1.0,0.41,629.2,seasonal,seasonal_naive_growth
SKU_0006,MSK,36,1.0,0.49,124.9,seasonal,seasonal_naive_growth
SKU_0007,MSK,36,1.0,0.48,1517.5,seasonal,seasonal_naive_growth
SKU_0008,EKB,36,1.0,0.43,242.3,seasonal,seasonal_naive_growth
SKU_0008,MSK,36,1.0,0.43,724.8,seasonal,seasonal_naive_growth
SKU_0009,MSK,36,3.6,-0.04,2.1,intermittent,croston_sba
SKU_0010,MSK,36,1.0,0.2,3111.8,regular,seasonal_naive
SKU_0012,MSK,36,1.0,0.38,712.7,seasonal,seasonal_naive_growth
SKU_0013,MSK,36,1.0,0.3,1661.7,regular,seasonal_naive
SKU_0014,MSK,36,1.0,0.15,1495.3,regular,seasonal_naive
SKU_0015,MSK,36,4.0,0.02,1.7,intermittent,croston_sba
SKU_0016,MSK,36,1.0,0.37,127.4,seasonal,seasonal_naive_growth
SKU_0017,EKB,36,1.0,0.4,31.8,seasonal,seasonal_naive_growth
SKU_0017,MSK,36,1.0,0.41,122.8,seasonal,seasonal_naive_growth
SKU_0018,MSK,36,1.0,0.41,290766.8,seasonal,seasonal_naive_growth
SKU_0019,MSK,36,1.0,0.5,121.7,seasonal,seasonal_naive_growth
SKU_0020,MSK,36,1.0,0.19,3074.1,regular,seasonal_naive
SKU_0021,MSK,36,1.0,0.57,580.1,seasonal,seasonal_naive_growth
SKU_0022,EKB,36,1.0,0.42,689.2,seasonal,seasonal_naive_growth
SKU_0022,MSK,36,1.0,0.42,1633.4,seasonal,seasonal_naive_growth
SKU_0023,MSK,36,1.0,0.59,1475.2,seasonal,seasonal_naive_growth
SKU_0024,MSK,36,4.0,0.06,1.9,intermittent,croston_sba
SKU_0025,MSK,36,1.0,0.3,3047.9,regular,seasonal_naive
SKU_0026,MSK,5,1.0,,813.4,short,ses
SKU_0027,EKB,36,1.0,0.29,511.4,regular,seasonal_naive
SKU_0027,MSK,36,1.0,0.29,1469.4,regular,seasonal_naive
SKU_0028,MSK,36,1.0,0.5,138.6,seasonal,seasonal_naive_growth
SKU_0029,MSK,5,1.0,,619.4,short,ses
SKU_0030,MSK,36,1.0,0.37,644.1,seasonal,seasonal_naive_growth
SKU_0031,MSK,36,2.57,0.06,36.4,intermittent,croston_sba
SKU_0032,MSK,36,1.0,0.5,1460.2,seasonal,seasonal_naive_growth
SKU_0033,MSK,36,1.0,0.53,3564.1,seasonal,seasonal_naive_growth
SKU_0034,EKB,36,1.0,0.59,335.6,seasonal,seasonal_naive_growth
SKU_0034,MSK,36,1.0,0.59,687.4,seasonal,seasonal_naive_growth
SKU_0035,MSK,5,1.0,,331.8,short,ses
SKU_0036,MSK,15,1.0,,250.7,short,ses
SKU_0037,MSK,36,1.0,0.56,292.9,seasonal,seasonal_naive_growth
SKU_0038,MSK,36,1.0,0.49,136.0,seasonal,seasonal_naive_growth
SKU_0039,MSK,36,1.0,0.27,1504.2,regular,seasonal_naive
SKU_0040,MSK,36,3.0,0.02,9.2,intermittent,croston_sba
