segment,sku,location,method,mase,rmsse,wape,bias,abs_err,err,vol
intermittent,SKU_0002,MSK,croston_sba,1.22,0.707,4.149,2.936,435.658,308.323,105.0
intermittent,SKU_0002,MSK,mean_12,1.004,0.667,3.456,1.655,362.917,173.75,105.0
intermittent,SKU_0002,MSK,seasonal_naive,1.51,1.158,5.067,3.067,532.0,322.0,105.0
intermittent,SKU_0002,MSK,tsb,0.835,0.549,2.829,1.106,297.056,116.125,105.0
intermittent,SKU_0009,MSK,croston_sba,1.177,0.725,2.027,0.943,99.338,46.212,49.0
intermittent,SKU_0009,MSK,mean_12,1.133,0.708,1.952,0.776,95.667,38.0,49.0
intermittent,SKU_0009,MSK,seasonal_naive,0.288,0.309,0.51,0.102,25.0,5.0,49.0
intermittent,SKU_0009,MSK,tsb,1.078,0.688,1.853,0.473,90.791,23.166,49.0
intermittent,SKU_0015,MSK,croston_sba,1.216,0.729,1.611,0.14,75.696,6.562,47.0
intermittent,SKU_0015,MSK,mean_12,1.462,0.863,1.95,0.479,91.667,22.5,47.0
intermittent,SKU_0015,MSK,seasonal_naive,1.8,1.388,2.426,0.426,114.0,20.0,47.0
intermittent,SKU_0015,MSK,tsb,1.385,0.817,1.842,0.372,86.562,17.468,47.0
intermittent,SKU_0024,MSK,croston_sba,0.9,0.647,1.143,-0.471,84.584,-34.849,74.0
intermittent,SKU_0024,MSK,mean_12,1.078,0.679,1.37,0.125,101.417,9.25,74.0
intermittent,SKU_0024,MSK,seasonal_naive,1.305,1.042,1.649,0.054,122.0,4.0,74.0
intermittent,SKU_0024,MSK,tsb,1.042,0.667,1.325,0.023,98.032,1.708,74.0
intermittent,SKU_0031,MSK,croston_sba,1.506,0.986,1.133,-0.406,1247.229,-447.506,1101.0
intermittent,SKU_0031,MSK,mean_12,1.692,1.059,1.281,0.01,1410.5,11.5,1101.0
intermittent,SKU_0031,MSK,seasonal_naive,2.246,1.643,1.708,0.193,1880.0,212.0,1101.0
intermittent,SKU_0031,MSK,tsb,1.732,1.077,1.313,0.127,1446.003,140.366,1101.0
intermittent,SKU_0040,MSK,croston_sba,0.809,0.646,1.197,-0.267,369.78,-82.426,309.0
intermittent,SKU_0040,MSK,mean_12,0.843,0.655,1.25,-0.113,386.167,-35.0,309.0
